config,top,nivo,smer,num_cores,mult_cycles,aes_bits,round_style,bypass_B,aad_B,start_MHz,period_ns,WNS_ns,Fmax_MHz,LUT,LUTRAM,FF,BRAM,DSP,power_W,throughput_Gbps,passes
kripto_enc,gcm_enc,kripto,enc,15,1,256,LUT,34,16,220.0,4.545,0.043,222.10,38375,0,10201,0,0,1.298,28.43,1
kripto_dec,gcm_dec,kripto,dec,15,1,256,LUT,34,16,220.0,4.545,0.065,223.19,39191,0,10738,0,0,1.258,28.57,2
ipsec_enc,ipsec_gcm_enc_top,ipsec,enc,15,1,256,LUT,34,16,220.0,4.450,0.022,225.81,39116,0,11332,0,0,1.320,28.90,2
ipsec_dec,ipsec_gcm_dec_top,ipsec,dec,15,1,256,LUT,34,16,220.0,4.632,0.029,217.23,41446,0,12407,0,0,1.153,27.81,2
kripto_enc_m2,gcm_enc,kripto,enc,15,2,256,LUT,34,16,220.0,4.225,0.122,243.70,38068,0,10771,0,0,1.263,15.60,5
kripto_dec_m2,gcm_dec,kripto,dec,15,2,256,LUT,34,16,220.0,4.345,0.063,233.51,38871,0,11305,0,0,1.226,14.94,5
ipsec_enc_m2,ipsec_gcm_enc_top,ipsec,enc,15,2,256,LUT,34,16,220.0,4.496,0.030,223.89,38580,0,11902,0,0,1.218,14.33,2
ipsec_dec_m2,ipsec_gcm_dec_top,ipsec,dec,15,2,256,LUT,34,16,220.0,4.545,0.047,222.30,41219,0,12980,0,0,1.209,14.23,1
kripto_enc_c1,gcm_enc,kripto,enc,1,1,256,LUT,34,16,220.0,4.545,0.046,222.25,8540,0,4603,0,0,0.479,1.90,1
kripto_dec_c1,gcm_dec,kripto,dec,1,1,256,LUT,34,16,220.0,4.441,0.095,230.07,8505,0,5153,0,0,0.494,1.96,4
ipsec_enc_c1,ipsec_gcm_enc_top,ipsec,enc,1,1,256,LUT,34,16,220.0,4.337,0.161,239.44,9647,0,5760,0,0,0.502,2.04,5
ipsec_dec_c1,ipsec_gcm_dec_top,ipsec,dec,1,1,256,LUT,34,16,220.0,4.786,0.038,210.59,11361,0,6850,0,0,0.501,1.80,4
kripto_enc_c1_m2,gcm_enc,kripto,enc,1,2,256,LUT,34,16,220.0,3.372,0.145,309.84,8294,0,5173,0,0,0.550,2.64,5
kripto_dec_c1_m2,gcm_dec,kripto,dec,1,2,256,LUT,34,16,220.0,3.513,0.219,303.54,8421,0,5723,0,0,0.542,2.59,5
ipsec_enc_c1_m2,ipsec_gcm_enc_top,ipsec,enc,1,2,256,LUT,34,16,220.0,3.631,0.148,287.07,9341,0,6330,0,0,0.670,2.45,5
ipsec_dec_c1_m2,ipsec_gcm_dec_top,ipsec,dec,1,2,256,LUT,34,16,220.0,4.147,0.219,254.55,11049,0,7422,0,0,0.532,2.17,5
kripto_enc_c1_reg,gcm_enc,kripto,enc,1,1,256,LUT,34,16,220.0,4.422,0.110,231.89,8519,0,4666,0,0,0.486,1.98,4
kripto_dec_c1_reg,gcm_dec,kripto,dec,1,1,256,LUT,34,16,220.0,4.085,0.026,246.34,8772,0,5216,0,0,0.514,2.10,4
ipsec_enc_c1_reg,ipsec_gcm_enc_top,ipsec,enc,1,1,256,LUT,34,16,220.0,4.545,0.049,222.40,9665,0,5823,0,0,0.511,1.90,1
ipsec_dec_c1_reg,ipsec_gcm_dec_top,ipsec,dec,1,1,256,LUT,34,16,220.0,4.326,0.172,240.71,11412,0,6913,0,0,0.673,2.05,4
