config,wrapper_kind,round_style,flow_style,num_cores,aes_bits,start_MHz,period_ns,WNS_ns,Fmax_MHz,LUT,LUTRAM,FF,BRAM,DSP,power_W,blocks_per_clk,throughput_Gbps,passes
unrolled_bram_global,UNROLLED,BRAM,GLOBAL,0,256,400.0,3.384,0.028,297.97,3339,2,5321,52,0,0.786,1.0000,38.14,2
unrolled_lut_global,UNROLLED,LUT,GLOBAL,0,256,400.0,2.500,0.007,401.12,10491,2,5320,0,0,0.996,1.0000,51.34,1
unrolled_lut_perstage,UNROLLED,LUT,PER_STAGE,0,256,400.0,2.500,0.040,406.50,10579,0,5413,0,0,1.107,1.0000,52.03,1
multicore_bram_c1,MULTICORE,BRAM,GLOBAL,1,256,400.0,3.149,0.022,319.80,2422,0,3642,4,0,0.431,0.0667,2.73,2
multicore_bram_c2,MULTICORE,BRAM,GLOBAL,2,256,400.0,3.446,0.011,291.12,4182,0,4028,8,0,0.535,0.1333,4.97,5
multicore_bram_c4,MULTICORE,BRAM,GLOBAL,4,256,400.0,3.606,0.010,278.09,7449,0,4824,16,0,0.669,0.2667,9.49,2
multicore_bram_c7,MULTICORE,BRAM,GLOBAL,7,256,400.0,3.790,0.030,265.96,12158,0,6001,28,0,0.933,0.4667,15.89,3
multicore_bram_c14,MULTICORE,BRAM,GLOBAL,14,256,400.0,4.135,0.014,242.66,24687,0,8821,56,0,1.480,0.9333,28.99,2
multicore_bram_c15,MULTICORE,BRAM,GLOBAL,15,256,400.0,4.203,0.025,239.35,24748,0,9217,60,0,1.466,1.0000,30.64,3
multicore_lut_c2,MULTICORE,LUT,GLOBAL,2,256,400.0,2.842,0.000,351.86,5852,0,4026,0,0,0.560,0.1333,6.01,3
multicore_lut_c4,MULTICORE,LUT,GLOBAL,4,256,400.0,2.979,0.020,337.95,9570,0,4824,0,0,0.619,0.2667,11.54,4
multicore_lut_c7,MULTICORE,LUT,GLOBAL,7,256,400.0,3.256,0.004,307.50,15760,0,6008,0,0,0.815,0.4667,18.37,2
multicore_lut_c14,MULTICORE,LUT,GLOBAL,14,256,400.0,3.729,0.006,268.60,30551,0,8810,0,0,1.103,0.9333,32.09,2
multicore_lut_c15,MULTICORE,LUT,GLOBAL,15,256,400.0,3.805,0.042,265.75,33168,0,9195,0,0,1.076,1.0000,34.02,2
multicore_lut_c1,MULTICORE,LUT,GLOBAL,1,256,383.6,2.575,0.028,392.62,3426,0,3637,0,0,0.454,0.0667,3.35,2
unrolled_bram_perstage,UNROLLED,BRAM,PER_STAGE,0,256,299.0,3.344,0.036,302.29,3465,0,5414,52,0,0.848,1.0000,38.69,1
