config,faza,G_D,q,bitlen_k,taktova_kP,Fmax_MHz,us_po_kP,status
f1_d1,1,1,571,570,2005406,323.17,6205.42,OK
f1_d2,1,2,286,570,1023866,320.79,3191.70,OK
f1_d4,1,4,143,570,531374,280.26,1896.00,OK
f1_d8,1,8,72,570,286850,277.84,1032.43,OK
f1_d16,1,16,36,570,162866,247.05,659.24,OK
f1_d32,1,32,18,570,100874,215.29,468.55,OK
f1_d64,1,64,9,570,69878,184.93,377.86,OK
f1_d128,1,128,5,570,56102,139.38,402.51,OK
f2_d1,2,1,571,570,670468,315.62,2124.29,OK
f2_d2,2,2,286,570,338728,302.18,1120.95,OK
f2_d4,2,4,143,570,172276,265.52,648.82,OK
f2_d8,2,8,72,570,89632,260.68,343.84,OK
f2_d16,2,16,36,570,47728,230.74,206.85,OK
f2_d32,2,32,18,570,26776,182.15,147.00,OK
f2_d64,2,64,9,570,16300,126.35,129.01,OK
f2_d128,2,128,5,570,11644,0.0,,OK
