config,faza,G_D,prolaz,period_ns,LUT_sinteza,FF_sinteza,MUXF7_sinteza,MUXF8_sinteza
ecdh_f1_d128,1,128,1,7.143,67352,17306,571,0
ecdh_f1_d128,1,128,2,7.320,67352,17306,571,0
ecdh_f1_d128,1,128,3,7.290,67352,17306,571,0
ecdh_f2_d128,2,128,1,7.143,200408,25691,591,0
ecdh_f1_d1,1,1,1,3.333,19837,17330,646,36
ecdh_f1_d1,1,1,2,3.308,19837,17330,646,36
ecdh_f1_d1,1,1,3,3.173,19837,17330,646,36
ecdh_f1_d2,1,2,1,3.333,19918,17376,636,29
ecdh_f1_d2,1,2,2,3.267,19918,17376,636,29
ecdh_f1_d2,1,2,3,3.183,19918,17376,636,29
ecdh_f1_d4,1,4,1,3.846,20675,17380,633,31
ecdh_f1_d4,1,4,2,3.751,20675,17380,633,31
ecdh_f1_d4,1,4,3,3.707,20675,17380,633,31
ecdh_f1_d8,1,8,1,3.846,21982,17384,635,1
ecdh_f1_d8,1,8,2,3.735,21982,17384,635,1
ecdh_f1_d8,1,8,3,3.672,21982,17384,635,1
ecdh_f1_d16,1,16,1,4.348,24855,17323,631,30
ecdh_f1_d16,1,16,2,4.329,24852,17324,631,30
ecdh_f1_d16,1,16,3,4.172,24852,17324,631,30
ecdh_f1_d32,1,32,1,5.000,30623,17392,635,0
ecdh_f1_d32,1,32,2,4.837,30623,17392,635,0
ecdh_f1_d32,1,32,3,4.719,30623,17392,635,0
ecdh_f1_d64,1,64,1,5.882,42987,17279,571,0
ecdh_f1_d64,1,64,2,5.767,42987,17279,571,0
ecdh_f1_d64,1,64,3,5.566,42987,17279,571,0
ecdh_f2_d1,2,1,1,3.333,24027,25327,871,144
ecdh_f2_d1,2,1,2,3.276,24027,25327,871,144
ecdh_f2_d1,2,1,3,3.218,24027,25327,871,144
ecdh_f2_d2,2,2,1,3.333,22649,25629,831,116
ecdh_f2_d4,2,4,1,3.846,25641,25628,819,124
ecdh_f2_d4,2,4,2,3.803,25641,25628,819,124
ecdh_f2_d8,2,8,1,3.846,33212,25648,819,108
ecdh_f2_d16,2,16,1,4.348,44355,25788,827,100
ecdh_f2_d32,2,32,1,5.000,68294,25734,827,0
ecdh_f2_d32,2,32,2,5.764,68294,25734,827,0
ecdh_f2_d32,2,32,3,5.747,68294,25734,827,0
ecdh_f2_d64,2,64,1,5.882,110064,25807,571,0
ecdh_f2_d64,2,64,2,8.138,110064,25807,571,0
ecdh_f2_d64,2,64,3,8.051,110064,25807,571,0
ecdh_f2_d128,2,128,1,7.143,200408,25691,591,0
