config,faza,G_D,prolaz,period_ns,cilj_MHz,WNS_place_ns,WNS_route_ns,WNS_ns,zatvorio,Fmax_impl_MHz
ecdh_f1_d128,1,128,1,7.143,140.00,0.293,-0.141,-0.127,ne,137.55
ecdh_f1_d128,1,128,2,7.320,136.61,0.431,0.076,0.076,da,138.05
ecdh_f1_d128,1,128,3,7.290,137.17,0.473,0.095,0.095,da,138.99
ecdh_f1_d1,1,1,1,3.333,300.03,0.348,0.075,0.075,da,306.94
ecdh_f1_d1,1,1,2,3.308,302.30,0.403,0.181,0.181,da,319.80
ecdh_f1_d1,1,1,3,3.173,315.16,0.432,0.077,0.077,da,323.00
ecdh_f1_d2,1,2,1,3.333,300.03,0.505,0.116,0.116,da,310.85
ecdh_f1_d2,1,2,2,3.267,306.09,0.474,0.133,0.133,da,319.08
ecdh_f1_d2,1,2,3,3.183,314.17,0.392,0.066,0.066,da,320.82
ecdh_f1_d4,1,4,1,3.846,260.01,0.502,0.142,0.142,da,269.98
ecdh_f1_d4,1,4,2,3.751,266.60,0.505,0.094,0.094,da,273.45
ecdh_f1_d4,1,4,3,3.707,269.76,0.502,0.139,0.139,da,280.27
ecdh_f1_d8,1,8,1,3.846,260.01,0.501,0.160,0.160,da,271.30
ecdh_f1_d8,1,8,2,3.735,267.74,0.503,0.111,0.111,da,275.94
ecdh_f1_d8,1,8,3,3.672,272.33,0.503,0.073,0.073,da,277.85
ecdh_f1_d16,1,16,1,4.348,229.99,0.403,0.069,0.069,da,233.70
ecdh_f1_d16,1,16,2,4.329,231.00,0.475,0.204,0.204,da,242.42
ecdh_f1_d16,1,16,3,4.172,239.69,0.506,0.124,0.124,da,247.04
ecdh_f1_d32,1,32,1,5.000,200.00,0.503,0.183,0.183,da,207.60
ecdh_f1_d32,1,32,2,4.837,206.74,0.503,0.168,0.168,da,214.18
ecdh_f1_d32,1,32,3,4.719,211.91,0.504,0.072,0.072,da,215.19
ecdh_f1_d64,1,64,1,5.882,170.01,0.512,0.164,0.164,da,174.89
ecdh_f1_d64,1,64,2,5.767,173.40,0.502,0.226,0.226,da,180.47
ecdh_f1_d64,1,64,3,5.566,179.66,0.501,0.111,0.111,da,183.32
ecdh_f2_d1,2,1,1,3.333,300.03,0.496,0.106,0.106,da,309.89
ecdh_f2_d1,2,1,2,3.276,305.25,0.316,0.107,0.107,da,315.56
ecdh_f2_d1,2,1,3,3.218,310.75,-0.131,-0.118,-0.115,ne,300.03
ecdh_f2_d2,2,2,1,3.333,300.03,-0.093,0.022,0.022,da,302.02
ecdh_f2_d4,2,4,1,3.846,260.01,0.401,0.087,0.087,da,266.03
ecdh_f2_d4,2,4,2,3.803,262.95,0.266,0.027,0.027,da,264.83
ecdh_f2_d8,2,8,1,3.846,260.01,0.444,0.007,0.007,da,260.48
ecdh_f2_d16,2,16,1,4.348,229.99,0.296,0.009,0.009,da,230.47
ecdh_f2_d32,2,32,1,5.000,200.00,-0.344,-0.734,-0.714,ne,175.01
ecdh_f2_d32,2,32,2,5.764,173.49,0.404,0.045,0.045,da,174.86
ecdh_f2_d32,2,32,3,5.747,174.00,0.501,0.202,0.202,da,180.34
ecdh_f2_d64,2,64,1,5.882,170.01,-1.518,-2.250,-2.206,ne,123.64
ecdh_f2_d64,2,64,2,8.138,122.88,0.502,0.062,0.062,da,123.82
ecdh_f2_d64,2,64,3,8.051,124.21,0.506,0.092,0.092,da,125.64
