config,faza,G_D,period_ns,WNS_ns,Fmax_MHz,LUT,LUTRAM,FF,BRAM,DSP,power_W,passes
ecdh_f1_d128,1,128,7.290,0.115,139.38,53759,0,17476,0,0,0.781,3
ecdh_f1_d1,1,1,3.173,0.079,323.17,17426,0,17402,0,0,0.604,3
ecdh_f1_d2,1,2,3.183,0.066,320.79,17515,0,17418,0,0,0.614,3
ecdh_f1_d4,1,4,3.707,0.139,280.26,18176,0,17401,0,0,0.584,3
ecdh_f1_d8,1,8,3.672,0.073,277.84,19551,0,17392,0,0,0.632,3
ecdh_f1_d16,1,16,4.172,0.124,247.05,21951,0,17389,0,0,0.630,3
ecdh_f1_d32,1,32,4.719,0.074,215.29,27602,0,17440,0,0,0.653,3
ecdh_f1_d64,1,64,5.566,0.159,184.93,35497,0,17389,0,0,0.593,3
ecdh_f2_d1,2,1,3.276,0.108,315.62,19495,0,25380,0,0,0.937,3
ecdh_f2_d2,2,2,3.333,0.024,302.18,19404,0,25495,0,0,0.903,1
ecdh_f2_d4,2,4,3.803,0.037,265.52,22109,0,25518,0,0,0.916,2
ecdh_f2_d8,2,8,3.846,0.010,260.68,27847,0,25364,0,0,1.010,1
ecdh_f2_d16,2,16,4.348,0.014,230.74,40409,0,25522,0,0,1.296,1
ecdh_f2_d32,2,32,5.747,0.257,182.15,58112,0,25511,0,0,1.334,3
ecdh_f2_d64,2,64,8.051,0.137,126.35,92710,0,25807,0,0,1.555,3
