serija,kind,round,flow,cores,mult,pkt_beats,n_pkts,in_pct,out_pct,burst_go,burst_stall,cycles,out_beats,exp_beats,bita_po_taktu,status
A,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,100,0,0,516,513,513,127.01,OK
A,MULTICORE,BRAM,GLOBAL,1,1,512,1,100,100,0,0,7670,513,513,8.54,OK
A,MULTICORE,BRAM,GLOBAL,2,1,512,1,100,100,0,0,3831,513,513,17.11,OK
A,MULTICORE,BRAM,GLOBAL,4,1,512,1,100,100,0,0,1923,513,513,34.08,OK
A,MULTICORE,BRAM,GLOBAL,7,1,512,1,100,100,0,0,1100,513,513,59.58,OK
A,MULTICORE,BRAM,GLOBAL,8,1,512,1,100,100,0,0,963,513,513,68.05,OK
A,MULTICORE,BRAM,GLOBAL,14,1,512,1,100,100,0,0,552,513,513,118.72,OK
A,MULTICORE,BRAM,GLOBAL,15,1,512,1,100,100,0,0,516,513,513,127.01,OK
B,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,100,0,0,516,513,513,127.01,OK
B,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,90,0,0,573,513,513,114.37,OK
B,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,75,0,0,664,513,513,98.70,OK
B,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,50,0,0,1004,513,513,65.27,OK
B,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,25,0,0,1992,513,513,32.90,OK
B,UNROLLED,BRAM,PER_STAGE,0,1,512,1,100,100,0,0,516,513,513,127.01,OK
B,UNROLLED,BRAM,PER_STAGE,0,1,512,1,100,90,0,0,573,513,513,114.37,OK
B,UNROLLED,BRAM,PER_STAGE,0,1,512,1,100,75,0,0,664,513,513,98.70,OK
B,UNROLLED,BRAM,PER_STAGE,0,1,512,1,100,50,0,0,1004,513,513,65.27,OK
B,UNROLLED,BRAM,PER_STAGE,0,1,512,1,100,25,0,0,1992,513,513,32.90,OK
B2,UNROLLED,BRAM,GLOBAL,0,1,512,1,75,75,0,0,920,513,513,71.23,OK
B2,UNROLLED,BRAM,PER_STAGE,0,1,512,1,75,75,0,0,920,513,513,71.23,OK
B3,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,0,8,8,1025,513,513,63.94,OK
B3,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,0,16,16,1028,513,513,63.75,OK
B3,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,0,32,32,1028,513,513,63.75,OK
B3,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,0,8,24,2052,513,513,31.94,OK
B3,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,0,64,16,644,513,513,101.76,OK
B3,UNROLLED,BRAM,PER_STAGE,0,1,512,1,100,0,8,8,1025,513,513,63.94,OK
B3,UNROLLED,BRAM,PER_STAGE,0,1,512,1,100,0,16,16,1028,513,513,63.75,OK
B3,UNROLLED,BRAM,PER_STAGE,0,1,512,1,100,0,32,32,1028,513,513,63.75,OK
B3,UNROLLED,BRAM,PER_STAGE,0,1,512,1,100,0,8,24,2052,513,513,31.94,OK
B3,UNROLLED,BRAM,PER_STAGE,0,1,512,1,100,0,64,16,644,513,513,101.76,OK
C,UNROLLED,BRAM,GLOBAL,0,1,4,64,100,100,0,0,1457,320,320,22.49,OK
C,UNROLLED,BRAM,GLOBAL,0,1,32,16,100,100,0,0,801,528,528,81.82,OK
C,UNROLLED,BRAM,GLOBAL,0,1,94,8,100,100,0,0,889,760,760,108.27,OK
C,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,100,0,0,516,513,513,127.01,OK
D,UNROLLED,BRAM,GLOBAL,0,1,512,1,100,100,0,0,516,513,513,127.01,OK
D,MULTICORE,BRAM,GLOBAL,15,1,512,1,100,100,0,0,516,513,513,127.01,OK
D,MULTICORE,BRAM,GLOBAL,8,1,512,1,100,100,0,0,963,513,513,68.05,OK
D,UNROLLED,BRAM,GLOBAL,0,2,512,1,100,100,0,0,1029,513,513,63.69,OK
D,MULTICORE,BRAM,GLOBAL,15,2,512,1,100,100,0,0,1029,513,513,63.69,OK
D,MULTICORE,BRAM,GLOBAL,8,2,512,1,100,100,0,0,1029,513,513,63.69,OK
