config,variant,data_width,rounds_per_cycle,arhitektura,period_ns,WNS_ns,Fmax_MHz,LUT,LUTRAM,FF,BRAM,DSP,power_W,passes
sha3_224_dw32_a1,224,32,1,I,2.457,0.069,418.76,5369,0,3090,0,0,0.682,3
sha3_224_dw32_a2,224,32,2,II,4.263,0.023,235.85,10107,0,3085,0,0,1.478,2
sha3_256_dw32_a1,256,32,1,I,2.500,0.076,412.54,5331,0,3070,0,0,0.686,2
sha3_256_dw32_a2,256,32,2,II,4.399,0.027,228.73,10579,0,3070,0,0,1.486,2
sha3_256_dw64_a1,256,64,1,I,2.404,0.094,432.90,5591,0,3130,0,0,0.720,3
sha3_256_dw64_a2,256,64,2,II,4.262,0.124,241.66,10137,0,3128,0,0,1.447,3
sha3_384_dw32_a1,384,32,1,I,2.372,0.111,442.28,5136,0,2933,0,0,0.747,3
sha3_384_dw32_a2,384,32,2,II,4.272,0.146,242.37,9496,0,2927,0,0,1.410,3
sha3_384_dw64_a1,384,64,1,I,2.464,0.107,424.27,5472,0,3004,0,0,0.750,3
sha3_384_dw64_a2,384,64,2,II,4.000,0.051,253.23,10023,0,3009,0,0,1.417,2
sha3_512_dw32_a1,512,32,1,I,2.414,0.089,430.11,4537,0,2807,0,0,0.759,3
sha3_512_dw32_a2,512,32,2,II,4.308,0.018,233.10,9163,0,2800,0,0,1.480,2
sha3_512_dw64_a1,512,64,1,I,2.455,0.102,424.99,4803,0,2882,0,0,0.715,3
sha3_512_dw64_a2,512,64,2,II,4.362,0.099,234.58,9479,0,2876,0,0,1.439,3
