config,variant,data_width,rounds_per_cycle,arhitektura,period_ns,WNS_ns,Fmax_MHz,LUT,LUTRAM,FF,BRAM,DSP,power_W,passes
sha3_224_dw32_a2,224,32,2,II,4.263,0.023,235.85,10107,0,3085,0,0,1.478,2
sha3_256_dw32_a1,256,32,1,I,2.500,0.076,412.54,5331,0,3070,0,0,0.686,2
sha3_256_dw32_a2,256,32,2,II,4.399,0.027,228.73,10579,0,3070,0,0,1.486,2
sha3_384_dw64_a2,384,64,2,II,4.000,0.051,253.23,10023,0,3009,0,0,1.417,2
sha3_512_dw32_a2,512,32,2,II,4.308,0.018,233.10,9163,0,2800,0,0,1.480,2
sha3_224_dw32_a1,224,32,1,I,2.322,0.077,445.43,5586,0,3090,0,0,0.709,3
sha3_256_dw64_a1,256,64,1,I,2.302,0.041,442.28,5678,0,3131,0,0,0.753,2
sha3_256_dw64_a2,256,64,2,II,4.138,0.010,242.25,10205,0,3128,0,0,1.458,1
sha3_384_dw32_a1,384,32,1,I,2.261,0.022,446.63,5305,0,2930,0,0,0.801,1
sha3_384_dw32_a2,384,32,2,II,4.225,0.068,240.56,9623,0,2927,0,0,1.446,3
sha3_384_dw64_a1,384,64,1,I,2.647,0.156,401.45,4833,0,3002,0,0,0.684,3
sha3_512_dw32_a1,512,32,1,I,2.591,0.071,396.83,4279,0,2805,0,0,0.734,3
sha3_512_dw64_a1,512,64,1,I,2.353,0.037,431.78,4951,0,2881,0,0,0.740,1
sha3_512_dw64_a2,512,64,2,II,4.190,0.007,239.07,9594,0,2875,0,0,1.451,3
